Mountain,Metres,Feet,Range,Location
Mount Everest,8848,29029,Himalayas  ,Nepal/China
K2,8612,28255,Karakoram  ,Pakistan/China
Kangchenjunga,8586,28169,Himalayas  ,Nepal/India
Lhotse,8516,27940,Himalayas  ,Nepal – Climbers ascend Lhotse Face in climbing Everest
Makalu,8485,27838,Himalayas  ,Nepal
Cho Oyu,8188,26864,Himalayas  ,"Nepal – Considered ""easiest"" eight-thousander"
Dhaulagiri,8167,26795,Himalayas  ,Nepal – Presumed world's highest from 1808-1838
Manaslu,8163,26781,Himalayas  ,Nepal
Nanga Parbat,8126,26660,Himalayas  ,Pakistan
Annapurna,8091,26545,Himalayas  ,Nepal – First eight-thousander to be climbed (1950)
Gasherbrum I (Hidden peak; K5),8080,26509,Karakoram  ,Pakistan/China – Originally named K5
Broad Peak,8051,26414,Karakoram  ,Pakistan/China
Gasherbrum II (K4),8035,26362,Karakoram  ,Pakistan/China – Originally named K4
Shishapangma,8027,26335,Himalayas  ,China
Gasherbrum III,7952,26089,Karakoram  ,Pakistan
Gyachung Kang,7952,26089,Himalayas  ,Nepal (Khumbu)/China
Annapurna II,7937,26040,Himalayas  ,Nepal
Gasherbrum IV (K3),7932,26024,Karakoram  ,Pakistan
Himalchuli,7893,25896,Himalayas  ,"Manaslu, Nepal"
Distaghil Sar,7885,25869,Karakoram  ,Pakistan
Ngadi Chuli,7871,25823,Himalayas  ,"Manaslu, Nepal"
Nuptse,7861,25791,Himalayas  ,"Everest Massif, Nepal"
Khunyang Chhish,7852,25761,Karakoram  ,Pakistan
Masherbrum (K1),7821,25659,Karakoram  ,Pakistan – Originally named K1
Nanda Devi,7816,25643,Himalayas  ,India (Uttarakhand)
Chomo Lonzo,7804,25604,Himalayas  ,"Makalu Massiff, Nepal/China"
Batura Sar,7795,25574,Karakoram  ,Pakistan
Kanjut Sar,7790,25558,Karakoram  ,Pakistan
Rakaposhi,7788,25551,Karakoram  ,Pakistan
Namcha Barwa,7782,25531,Himalayas  ,China
Batura II,7762,25466,Karakoram  ,Pakistan
Kamet,7756,25446,Himalayas  ,India (Uttarakhand)
Saltoro Kangri,7742,25400,Karakoram  ,India (Jammu and Kashmir)
Batura III,7729,25358,Karakoram  ,Pakistan
Jannu,7710,25295,Himalayas  ,"Kangchenjunga, Nepal"
Tirich Mir,7708,25289,Hindu Kush  ,Pakistan – #1 in Hindu Kush
Molamenqing,7703,25272,Himalayas  ,"Shishapangma group, China"
Gurla Mandhata,7694,25243,Himalayas (Nalakankar)  ,China
Saser Kangri,7672,25171,Karakoram  ,Pakistan / India (Jammu and Kashmir)
Chogolisa,7665,25148,Karakoram  ,Pakistan
Kongur Tagh,7649,25095,Pamir or Kunlun Mountains  ,China
Shispare,7611,24970,Karakoram  ,Pakistan
Silberzacken,7597,24925,Himalaya  ,Pakistan
Changtse,7583,24879,Himalayas  ,"Everest Massif, China"
Trivor,7577,24859,Karakoram  ,Karakoram – Pakistan
Gangkhar Puensum,7570,24836,Himalayas  ,Bhutan/China
Gongga Shan,7556,24790,Daxue Shan  ,"Sichuan, China"
Annapurna III,7555,24787,Himalayas  ,Nepal
Kula Kangri,7554,24783,Himalayas  ,China (possibly also Bhutan)
Skyang Kangri,7545,24754,Karakoram  ,Pakistan
Liankang Kangri,7535,24721,Himalayas  ,Bhutan/China
Yukshin Gardan Sar,7530,24705,Karakoram  ,Pakistan
Annapurna IV,7525,24688,Himalayas  ,Nepal
Saser Kangri II,7518,24665,Karakoram  ,India (Jammu and Kashmir)
Mamostong Kangri,7516,24659,Karakoram  ,India (Jammu and Kashmir)
Muztagh Ata,7509,24636,Kongur Tagh  ,China (Xinjiang)
Ismoil Somoni Peak,7495,24590,Pamir Mountains  ,Tajikistan
Saser Kangri III,7495,24590,Karakoram  ,India (Jammu and Kashmir)
Noshaq,7492,24580,Hindu Kush  ,Pakistan/Afghanistan – #1 in Afghanistan
Pumari Chhish,7492,24580,Karakoram  ,Pakistan
Passu Sar,7476,24528,Karakoram  ,Pakistan
Jongsong Peak,7462,24482,Himalayas  ,India/Nepal/China
Malubiting,7458,24469,Karakoram  ,Pakistan
Gangapurna,7455,24459,Annapurna Himalaya  ,Nepal
Muchu Chhish (Batura V),7453,24452,Karakoram  ,Pakistan
Jengish Chokusu,7439,24406,Tian Shan  ,China/Kyrgyzstan – #1 in Tian Shan
K12,7428,24370,Karakoram  ,India(Jammu and Kashmir)/Pakistan
Sia Kangri,7422,24350,Karakoram  ,Pakistan
Momhil Sar,7414,24324,Karakoram  ,Pakistan
Istor-o-Nal,7403,24288,Hindu Kush  ,Pakistan
Ghent Kangri,7401,24281,Karakoram  ,India (Jammu and Kashmir)/Pakistan
Haramosh Peak,7397,24268,Karakoram  ,Pakistan
Kabru,7394,24259,Himalayas  ,"Kanchenjunga, India (Sikkim)/Nepal"
Ultar,7388,24239,Karakoram  ,Pakistan
Rimo I,7385,24229,Karakoram  ,India (Jammu and Kashmir)
Sherpi Kangri,7380,24213,Karakoram  ,Pakistan
Churen Himal,7371,24183,Himalayas  ,Nepal
Labuche Kang,7367,24170,Himalayas  ,"near Cho Oyu, Nepal/China"
Kirat Chuli,7365,24163,Himalayas  ,Nepal/India (Sikkim) border
Skil Brum,7360,24147,Karakoram  ,"Pakistan – May also be given as 7,410 m"
Abi Gamin,7355,24131,Himalayas  ,India
Gimmigela Chuli,7350,24114,Himalayas  ,Nepal/India (Sikkim) border
Saraghrar,7340,24081,Hindu Kush  ,Pakistan
Bojohagur Duanasir,7329,24045,Karakoram  ,Pakistan
Chamlang,7319,24012,Himalayas  ,"Khumbu, Nepal"
Chongtar Kangri,7315,23999,Karakoram  ,Pakistan
Jomolhari / Chomolhari,7314,23996,Himalayas  ,Bhutan/China
Baltoro Kangri,7312,23990,Karakoram  ,Pakistan
Siguang Ri,7308,23976,Himalayas  ,China
Summa Ri,7302,23957,Himalayas  ,Pakistan
The Crown,7295,23934,Karakoram  ,China (Xinjiang)
Gyala Peri,7294,23930,Himalayas  ,China
Porong Ri,7292,23924,Himalayas  ,China
Baintha Brakk,7285,23901,Karakoram  ,Pakistan
Yutmaru Sar,7283,23894,Karakoram  ,Pakistan
K6,7282,23891,Karakoram  ,Pakistan – Also known as Baltistan Peak
Kangpenqing,7281,23888,Himalayas  ,China
Mana Peak,7272,23858,Himalayas  ,India (Uttarakhand) – SSE of Kamet
Muztagh Tower,7273,23862,Karakoram  ,Pakistan
Diran,7257,23809,Karakoram  ,Pakistan
Apsarasas Kangri,7245,23770,Karakoram  ,China/Pakistan
Langtang Lirung,7227,23711,Himalayas  ,Nepal
Karjiang,7221,23691,Himalayas  ,China
Annapurna South,7219,23684,Himalayas  ,Nepal
Khartaphu,7213,23665,Himalayas  ,China
Tongshanjiabu,7207,23645,Himalayas  ,Bhutan/China
Langtang Ri,7205,23638,Himalayas  ,Nepal/China
Kangphu Kang,7204,23635,Himalayas  ,Bhutan/China
Singhi Kangri,7202,23629,Himalayas  ,India/China
Lupghar Sar,7200,23622,Karakoram  ,Pakistan
Gurja Himal,7193,23599,Himalayas  ,Nepal
Melungtse,7181,23560,Rolwaling Himalayas  ,China
Liushi Shan,7167,23514,Kunlun  ,China – #1 in Kunlun
Baruntse,7162,23497,Himalayas  ,"Khumbu, Nepal"
Pumori,7161,23494,Himalayas  ,"Khumbu, Nepal"
Hardeol,7151,23461,Himalayas  ,India (Uttarakhand)
Gasherbrum V,7147,23448,Karakoram  ,Pakistan
Latok I,7145,23442,Karakoram  ,Pakistan
Kampire Dior,7143,23435,Karakoram  ,Pakistan
Nemjung,7140,23425,Himalayas  ,Nepal
Udren Zom,7140,23425,Hindu Kush  ,Pakistan
Chaukhamba,7138,23419,Himalayas  ,India (Uttarakhand)
Nun Kun,7135,23409,Karakoram  ,India(Jammu and Kashmir)
Tilicho Peak,7134,23406,Himalayas  ,"Annapurna Himal, Nepal"
Gauri Sankar,7134,23406,Rolwaling Himalayas  ,Nepal/China
Lenin Peak,7134,23406,Pamir Mountains  ,Tajikistan-Kyrgyzstan – #2 in Pamirs
Bularung Sar,7134,23406,Karakoram  ,Pakistan
Api,7132,23399,Himalayas  ,Nepal
Teri Kang,7124,23373,Himalayas  ,Bhutan
Pauhunri,7128,23386,Himalayas  ,India (Sikkim)/China
Trisul,7120,23360,Himalayas  ,India (Uttarakhand)
Korzhenevskaya,7105,23310,Pamir Mountains  ,Tajikistan – #3 in Pamirs
Lunpo Gangri,7095,23278,Himalayas (Gangdise)  ,China
Satopanth,7075,23212,Himalayas  ,India (Uttarakhand)
Tirsuli,7074,23209,Himalayas  ,India (Uttarakhand)
Dunagiri,7066,23182,Himalayas  ,India (Uttarakhand)
Kangto,7060,23163,Himalayas  ,India (Arunachal Pradesh)/China
Nyegyi Kansang,7047,23120,Himalayas  ,India (Arunachal Pradesh)/China
Chomolhari Kang,7046,23117,Himalayas  ,Bhutan
Salasungo,7043,23107,Himalayas  ,Nepal/China
Link Sar,7041,23100,Karakoram  ,Pakistan
Kezhen Peak,7038,23091,Karakoram  ,China (Xinjiang)
Shah Dhar,7038,23091,Hindu Kush  ,Pakistan/Afghanistan
Saipal,7031,23068,Himalayas  ,Nepal
Padmanabh,7030,23064,Himalayas  ,India
Spantik,7027,23054,Karakoram  ,Pakistan
Pamri Sar,7016,23018,Karakoram  ,Pakistan
Khan Tengri,7010,22999,Tian Shan  ,Kyrgyzstan-Kazakhstan-China
Machapuchare,6993,22943,"Annapurna Himalaya, Nepal – Officially unclimbed (attempts not allowed)",
Laila Peak (Haramosh Valley),6985,22917,"Karakoram, Pakistan",
Kang Guru,6981,22904,"Manaslu Himalaya, Nepal – 2005 avalanche kills 18",
Gasherbrum VI,6979,22897,"Karakoram, Pakistan",
Karun Kuh,6977,22890,"Karakoram, Pakistan",
Avicenna Peak,6974,22881,"Pamir Mountains, Tajikistan – #3 in Pamirs",
Ulugh Muztagh,6973,22877,"Kunlun Mountains, Often misquoted as 7,723 m",
Aconcagua,6962,22841,"Andes, Argentina – Highest in both the Western and Southern Hemispheres",
Napko Kangri,6956,22822,"Karakoram, China",
Sangemarmar Sar,6949,22799,"Karakoram, Pakistan",
Kedarnath (mountain),6940,22769,"Himalayas, India",
K7,6934,22749,Karakoram – Pakistan,
Panchchuli,6904,22651,"Himalayas, India",
Thalay Sagar,6904,22651,"Himalayas, India",
Lunkho e Dosare,6901,22641,"Hindu Kush, Afghanistan-Pakistan",
Lunag Ri,6895,22621,"Himalaya, Nepal-China",
Ojos del Salado,6891,22608,"Andes, Argentina-Chile – Highest volcano on Earth",
Siniolchu,6888,22598,"Kangchenjunga Himalaya, India (Sikkim)",
Kanjiroba,6883,22582,"Himalayas, Nepal",
Bairiga,6882,22579,Kangri Garpo,
Koyo Zom,6872,22546,"Hindu Kush, Pakistan",
Nanda Kot,6861,22510,"Himalayas, India (Uttarakhand)",
Kubi Gangri,6859,22503,"Himalayas, Nepal/China",
Angel Sar,6858,22500,"Karakoram, Pakistan",
Bhagirathi Parbat I,6856,22493,"Himalayas, India (Uttarakhand)",
Jethi Bahurani,6850,22474,"Himalayas, Nepal",
Chongra Peak,6830,22408,"Nanga Parbat Himalaya, Pakistan",
Chomo Yummo,6829,22405,"Sikkim, India/China",
Reo Purgyil,6816,22362,"Western Himalaya, India border – Highest in Himachal Pradesh",
Ama Dablam,6812,22349,"Himalayas, Nepal (Khumbu)",
Monte Pissis,6795,22293,"Andes, Argentina – Third highest in Western Hemisphere",
Kangtega,6782,22251,"Himalayas, Nepal",
Biarchedi,6781,22247,"Karakoram, Pakistan",
Huascarán Sur,6768,22205,"Andes, Peru – Highest",
Cerro Bonete,6759,22175,"Andes, Argentina",
Nevado Tres Cruces,6749,22142,"Andes, Argentina/Chile",
Kawagarbo,6740,22113,"Himalayas, China",
Llullaillaco,6739,22110,"Andes, Argentina/Chile",
Cho Polu,6735,22096,"Himalayas, Nepal (Khumbu)",
Kangju Kangri,6725,22064,"Karakoram, India (Jammu and Kashmir)",
Changla,6721,22051,"Himalayas, Nepal/China",
Mercedario,6720,22047,"Andes, Argentina",
Mount Pandim,6691,21952,"Himalayas, India (Sikkim)",
Num Ri,6677,21906,"Himalayas, Nepal (Khumbu)",
Lungser Kangri,6666,21870,"Ladakh, Himalayas, India (Jammu and Kashmir)",
Meru Peak,6660,21850,"Himalayas, India",
Gul Lasht Zom,6657,21841,"Hindu Kush, Pakistan",
Huascarán Norte,6655,21834,"Andes, Peru",
Khumbutse,6640,21785,"Himalayas, Nepal (Khumbu)/China – First peak west of Everest",
Mount Kailash,6638,21778,"Transhimalaya, western China – Officially unclimbed (attempts not allowed)",
Yerupajá,6635,21768,"Andes, Peru",
Nevado Tres Cruces Central,6629,21749,"Andes, Chile",
Thamserku,6623,21729,"Himalayas, Nepal (Khumbu)",
Geladaindong Peak,6621,21722,"Tanggula, China (Qinghai)",
Incahuasi,6621,21722,"Andes, Argentina/Chile",
Pangpoche,6620,21719,"Himalayas, Nepal",
Manirang,6597,21644,"Himalayas, India (Himachal Pradesh)",
Nilkantha,6596,21640,"Himalayas, India (Uttarakhand)",
Phuparash Peak,6574,21568,"Karakoram, Pakistan",
Sickle Moon Peak,6574,21568,"Himalayas, India (Jammu and Kashmir)",
Tupungato,6570,21555,"Andes, Argentina/Chile",
Buni Zom,6542,21463,"Hindu Raj, Pakistan",
Nevado Sajama,6542,21463,"Andes, Bolivia – Highest",
Ghamubar Zom,6518,21385,"Hindu Kush, Pakistan",
Singu Chuli,6501,21329,"Annapurna Himalayas, Nepal",
Taboche,6501,21329,"Himalayas, Nepal (Khumbu)",
Cerro El Muerto,6488,21286,"Andes, Argentina/Chile",
Mera Peak,6476,21247,"Himalayas, Nepal (Khumbu)",
Hiunchuli,6441,21132,"Annapurna Himalaya, Nepal",
Cholatse,6440,21129,"Himalayas, Nepal (Khumbu)",
Illimani,6438,21122,"Andes, Bolivia",
Ancohuma,6427,21086,"Andes, Bolivia",
Coropuna,6425,21079,"Andes, Peru",
Antofalla,6409,21027,"Andes, Argentina",
Kang Yatze,6400,20997,"Ladakh, Himalayas, India (Jammu and Kashmir)",
Huandoy,6395,20981,"Andes, Peru",
Ausangate,6384,20945,"Andes, Peru",
Chapaev Peak,6371,20902,"Tian Shan, Kyrgyzstan",
Illampu,6368,20892,"Andes, Bolivia",
Kusum Kangguru,6367,20889,"Himalayas, Nepal (Khumbu)",
Kinnaur Kailash,6349,20830,"Himalayas, Kinnaur, India (Himachal Pradesh)",
Parinaquta,6348,20827,"Andes, Bolivia/Chile",
Siula Grande,6344,20814,"Andes, Peru",
Bamba Dhura,6334,20781,"Himalayas, India (Uttarakhand)",
Ampato,6288,20630,"Andes, Peru",
Amne Machin,6282,20610,"Kunlun Mountains, China (Qinghai)",
Pomerape,6282,20610,"Andes, Bolivia/Chile",
Salcantay,6271,20574,"Andes, Peru",
Chimborazo,6267,20561,"Andes, Ecuador – Furthest point from Earth's center",
Mount Siguniang,6250,20505,"Qionglai Mountains, China (Sichuan)",
Grid Nie Mountain,6224,20420,"Hengduan Mountains, China (Sichuan)",
Yuzhu Peak,6224,20420,"Kunlun Mountains, China (Qinghai)",
Genyen Massif,6204,20354,"Shaluli Range, China (Sichuan)",
Kongde Ri,6187,20299,"Himalayas, Nepal (Khumbu)",
Aucanquilcha,6176,20262,"Andes, Chile",
Imja Tse,6189,20305,"Himalayas, Nepal (Khumbu)",
Denali (Mount McKinley),6168,20236,"Alaska Range, United States (Alaska) – Highest in North America",
Stok Kangri,6137,20135,"Himalayas, India (Jammu and Kashmir)",
Lobuche,6119,20075,"Himalayas, Nepal (Khumbu)",
Marmolejo,6108,20039,"Andes, Argentina/Chile",
Laila Peak (Hushe Valley),6096,20000,"Karakoram, Pakistan",
Pisang Peak,6091,19984,"Annapurna Himalaya, Nepal",
Huayna Potosí,6088,19974,"Andes, Bolivia",
Aracar,6082,19954,"Andes, Argentina",
Chachakumani,6074,19928,"Andes, Bolivia",
Chachani,6057,19872,"Andes, Peru",
Mianzimu,6054,19862,"Yunnan, China",
Acotango,6052,19856,"Andes, Bolivia/Chile",
Socompa,6051,19852,"Andes, Argentina/Chile",
Minglik Sar,6050,19849,"Karakoram, Pakistan",
Acamarachi,6046,19836,"Andes, Chile",
Shayaz,6026,19770,"Hindu Kush, Pakistan",
Hualca Hualca,6025,19767,"Andes, Peru",
Uturunku,6020,19751,"Andes, Bolivia",
Mitre Peak,6010,19718,"Karakoram, Pakistan",
Laila Peak,5971,19590,Himalaya  ,Pakistan
Mount Logan,5959,19551,Saint Elias Mountains  ,"Yukon, Canada – Highest in Canada"
Alpamayo,5947,19511,Andes  ,Peru
Cerro Lípez,5929,19452,Andes  ,Bolivia
Licancabur,5920,19423,Andes  ,Bolivia/Chile
Falak Sar,5918,19416,Hindu Kush  ,Pakistan
Cotopaxi,5897,19347,Andes  ,Ecuador – Second highest in Ecuador
Mount Kilimanjaro,5895,19341,Eastern Rift Mountains  ,Tanzania – Highest in Africa
Hkakabo Razi,5881,19295,Himalayas  ,Myanmar – Highest in Myanmar and Southeast Asia
San José,5856,19213,Andes  ,Chile
El Misti,5822,19101,Andes  ,Peru
Altun Shan,5798,19022,Altyn-Tagh  ,"Gansu, China"
Cayambe,5790,18996,Andes  ,Ecuador – Third highest in Ecuador
Pico Cristóbal Colón,5776,18950,Sierra Nevada de Santa Marta  ,Colombia – Highest coastal mountain
Antisana,5753,18875,Andes  ,Ecuador
Nevado Pisco,5752,18871,Andes  ,Peru
Nevado Anallajsi,5750,18865,Andes  ,Bolivia
Pokalde,5745,18848,Khumbu Himalayas  ,Nepal – 7 km SW of Everest
Ubinas,5672,18609,Andes  ,Peru – Active volcano (2006)
Pichu Pichu,5664,18583,Andes  ,Peru
Mount Elbrus,5642,18510,Caucasus Mountains  ,"North Caucasus, Russia – Highest in Caucasus"
Mehrbani Peak,5639,18501,Karakoram  ,Pakistan
Pico de Orizaba,5636,18491,Trans-Mexican Volcanic Belt  ,Mexico – Highest in Mexico
Mount Damavand,5610,18406,Alborz  ,"Iran – Highest in Iran and ME, highest volcano in Asia"
Nevado Mismi,5597,18363,Andes  ,Peru – Glacial source of the Amazon River
Jade Dragon Snow Mountain,5596,18360,Hengduan Mountains  ,"Yunnan, China"
Lascar Volcano,5592,18346,Andes  ,Chile
Mount Xuebaoding,5588,18333,Min Mountains  ,"Sichuan, China"
Kala Patthar,5545,18192,Khumbu Himalayas  ,Nepal – Popular trekking peak
Mount Saint Elias,5489,18009,Saint Elias Mountains  ,"Yukon, Canada/Alaska, US – Second highest in both countries"
Concord Peak,5469,17943,Pamir Mountains  ,Afghanistan–Tajikistan
Dindaw Razi,5464,17927,Himalayas  ,Myanmar
Machoi Peak,5458,17907,Himalaya  ,India (Jammu and Kashmir)
El Plomo,5450,17881,Andes  ,Chile
Bogda Feng,5445,17864,Tien Shan  ,"Xinjiang, China"
Mount Little Xuebaoding,5443,17858,Min Mountains  ,"Sichuan, China"
Cerro El Plomo,5434,17828,Andes  ,Chile – Largest peak visible from Santiago on clear days
Popocatépetl,5426,17802,Trans-Mexican Volcanic Belt  ,Mexico – Second highest in Mexico
Kolahoi Peak,5425,17799,Himalaya  ,India (Jammu and Kashmir) – Highest in Kashmir Valley
Chacaltaya,5421,17785,Andes  ,Bolivia
Mount Pomiu,5413,17759,Qionglai Range  ,"Sichuan, China"
Ritacuba Blanco,5410,17749,Andes  ,Colombia
Haba Xueshan,5396,17703,Himalaya  ,"Yunnan, China"
Nevado del Ruiz,5389,17680,Andes  ,"Colombia – 23,000 people died in 1985 eruption"
Nevado del Huila,5364,17598,Andes  ,Colombia
El Altar,5320,17454,Andes  ,Ecuador
Mount Foraker,5304,17402,Alaska Range  ,"Alaska, US"
Mount Haramukh,5300,17388,Himalaya  ,India (Jammu and Kashmir)
Nevado del Tolima,5276,17310,Andes  ,Colombia
Maipo,5264,17270,Andes  ,Argentina/Chile
Illiniza,5248,17218,Andes  ,Ecuador
Point 5240,5240,17192,Himalaya  ,"Jammu and Kashmir, India"
Sirbal Peak,5236,17178,Himalaya  ,"Kashmir Valley, India (Jammu and Kashmir)"
Sangay,5230,17159,Andes  ,Ecuador
Iztaccíhuatl,5230,17159,Trans-Mexican Volcanic Belt  ,Mexico – Third highest in Mexico
Mount Lucania,5226,17146,Saint Elias Mountains  ,"Yukon, Canada – Third highest in Canada"
Karakol Peak,5216,17113,Tian Shan  ,Kyrgyzstan
Dykh-Tau,5205,17077,Caucasus Mountains  ,"North Caucasus, Russia – Second highest in the Caucasus"
Shkhara,5201,17064,Caucasus Mountains  ,Georgia – Highest in Georgia
Mount Kenya,5199,17057,  ,"Kenya – Highest in Kenya, Second highest in Africa"
Malika Parbat,5190,17028,Himalaya  ,"Kaghan Valley, Pakistan – Highest in Kaghan Valley of Pakistan"
Amarnath Peak,5186,17014,Himalaya  ,"Kashmir Valley, India (Jammu and Kashmir)"
Laram Q'awa (Charaña),5182,17001,Andes  ,Bolivia
King Peak,5173,16972,Saint Elias Mountains  ,"Yukon, Canada – Fourth highest in Canada"
Boris Yeltsin Peak,5168,16955,Teskey Ala-Too  ,Kyrgyzstan
Koshtan-Tau,5150,16896,Caucasus Mountains  ,"North Caucasus, Russia"
Mount Ararat,5137,16854,  ,Turkey – Highest in Turkey
Mount Stanley,5109,16762,Ruwenzori Mountains  ,Democratic Republic of the Congo/Uganda – Third highest in Africa
Tami Razi,5101,16736,Himalayas  ,Myanmar
Mount Steele,5073,16644,Saint Elias Mountains  ,"Yukon, Canada – Fifth highest in Canada"
Janga,5051,16572,Caucasus Mountains  ,"Georgia / North Caucasus, Russia – Second highest in Georgia"
Mount Kazbek,5047,16558,Caucasus Mountains  ,Georgia – Third highest in the country
Tungurahua,5023,16480,Andes  ,Ecuador – Active volcano
Carihuairazo,5018,16463,Andes  ,Ecuador
Mount Bona,5005,16421,Saint Elias Mountains  ,"Alaska, US – Also given as 5,030 m or 5,045m"
Mount Blackburn,4996,16391,,"Wrangell Mtns., Alaska, US (also given 5036 m)"
Pico Bolívar,4981,16342,,"Sierra Nevada de Mérida, Andes, Venezuela – Highest in Venezuela"
Talgar Peak,4979,16335,,"Tian Shan, Kazakhstan – Highest in northern Tian Shan"
Shota Rustaveli Peak,4960,16273,,"Caucasus Mountains, Svaneti, Georgia/North Caucasus, Russia"
Gunshar,4950,16240,,"Kohistan District, Pakistan"
Mount Sanford,4949,16237,,"Wrangell Mtns., Alaska, US"
Pico Humboldt,4940,16207,,"Sierra Nevada de Mérida, Andes, Venezuela"
Pin Bhaba Pass,4930,16175,,"Pin Valley/Spiti Valley, Himalayas, India"
Vinson Massif,4892,16050,,"Sentinel Range, Ellsworth Mountains, Antarctica – Highest in Antarctica"
Pico Bonpland,4890,16043,,"Sierra Nevada de Mérida, Andes, Venezuela"
Puncak Jaya,4884,16024,,"Sudirman Range, Papua, Indonesia – Highest in Indonesia"
Pico La Concha,4870,15978,,"Sierra Nevada de Mérida, Andes, Venezuela"
Gistola,4860,15945,,"Caucasus Mountains, Svaneti, Georgia"
Tetnuldi,4858,15938,,"Caucasus Mountains, Svaneti, Georgia"
Mount Tyree,4852,15919,,"Sentinel Range, Ellsworth Mountains, Antarctica – Second highest in Antarctica"
Huaynaputina,4850,15912,,"Andes, Peru"
Alam Kuh,4850,15912,,"Alborz, Iran – Second highest in Iran"
Mount Wood,4842,15886,,"Saint Elias Mountains, Yukon, Canada"
Mount Vancouver,4812,15787,,"Saint Elias Mountains, Yukon, Canada"
Sabalan,4811,15784,,Iran
Mont Blanc,4810,15781,,"Mont Blanc massif, France/Italy – Highest in Alps"
Corazón,4790,15715,,"Andes, Ecuador"
Pichincha,4784,15696,,"Andes, Ecuador"
Jimara,4780,15682,,"Khokh Range, Caucasus Mountains, Georgia"
Mount Churchill,4766,15636,,"Saint Elias Mountains, Alaska, US"
Puncak Mandala,4760,15617,,"Papua, Indonesia"
Klyuchevskaya Sopka,4750,15584,,"Kamchatka, Russia"
Puncak Trikora,4750,15584,,"Papua, Indonesia"
Mont Blanc de Courmayeur,4748,15577,,"Mont Blanc massif, France/Italy"
Sunset Peak,4745,15568,,"Himalaya, Kashmir Valley, India (Jammu and Kashmir)"
Mount Slaggard,4742,15558,,"Saint Elias Mountains, Canada"
Pico Piedras Blancas,4740,15551,,"Sierra de la Culata, Andes, Venezuela"
Pico El Toro,4730,15518,,"Andes, Venezuela"
Tatakooti Peak,4725,15502,,"Himalaya, Kashmir Valley, India (Jammu and Kashmir)"
Rumiñahui,4721,15489,,"Andes, Ecuador"
Pico El Leon,4720,15486,,"Andes, Venezuela"
Ushba,4710,15453,,"Caucasus Mountains, Svaneti, Georgia"
Volcán Domuyo,4709,15449,,"Andes, Argentina"
Pico Los Nevados,4700,15420,,"Andes, Venezuela"
Pico Pan de Azucar,4680,15354,,"Sierra de la Culata, Andes, Venezuela"
Naltar Peak,4678,15348,,Pakistan
Mount Fairweather,4663,15299,,"Fairweather Range, Alaska, US"
Pico Mucuñuque,4660,15289,,"Andes, Venezuela"
Pico El Buitre,4650,15256,,"Andes, Venezuela"
Khazret Sultan,4643,15233,,"Gissar Range, Uzbekistan"
Sierra Negra,4640,15223,,Mexico
Dufourspitze (Monte Rosa),4634,15203,,"Pennine Alps, Switzerland – Highest point in Switzerland"
Dunantspitze (Monte Rosa),4632,15197,,"Pennine Alps, Switzerland"
