Mountain,Metres,Feet,Range,Location
Elkhorn Mountain,2195,7201,,"Vancouver Island, British Columbia, Canada"
Mount Baldy,2192,7192,,"Alberta, Canada"
Golyam Perelik,2191,7188,,"Rhodope Mountain, Bulgaria"
Shiprock,2188,7178,,"New Mexico, US"
Mount Tahan,2187,7175,,"Tahan Range, Pahang, Malaysia – Highest in Peninsular Malaysia"
Mount Korbu,2183,7162,,"Titiwangsa Mountains, Perak, Malaysia"
Mount Yong Belar,2180,7152,,"Perak, Malaysia"
Doi Chiang Dao,2175,7136,,Thailand
Galunggung,2168,7113,,Java
Levski Peak,2166,7106,,"Balkan Mountain, Bulgaria"
Monte Cimone,2165,7103,,Emilia-Romagna Italy
Mount Hua,2155,7070,,"Shaanxi, China"
Mount Ugo,2150,7054,,"Cordillera Range, Benguet, Philippines"
Mount Zulia,2149,7051,,Uganda
Carruthers Peak,2145,7037,,"Snowy Mountains, New South Wales, Australia"
Crna Glava,2139,7018,,"Bjelasica, Crna Gora"
Mount Colonel Foster,2135,7005,,"Vancouver Island, British Columbia, Canada"
Roche à Perdrix,2135,7005,,"Fiddle Range, Canadian Rockies, Canada"
Kodaikanal,2133,6998,,"Tamil Nadu, India"
Pilatus,2132,6995,,Switzerland
Strmenica,2122,6962,,"Bjelasica, Crna Gora"
Phu Soi Dao,2120,6955,,Thailand/Laos
Eagle Peak,2119,6952,,"Alaska, US"
Zekova Glava,2117,6946,,"Bjelasica, Crna Gora"
Öræfajökull,2110,6923,,Iceland
Mount Benum,2107,6913,,Malaysia
Mogotón,2107,6913,,Nicaragua – Highest in Nicaragua
Kebnekaise,2106,6909,,Sweden
Rambler Peak,2092,6864,,"Vancouver Island, British Columbia, Canada"
Mount McBride,2083,6834,,"Vancouver Island, British Columbia, Canada"
Pico do Selado,2082,6831,,"Monte Verde, Minas Gerais, Brazil"
Phou Khe,2079,6821,,Thailand/Laos
Schneeberg,2076,6811,,"Northern Limestone Alps, Austria"
Mount Tate,2068,6785,,"Snowy Mountains, New South Wales, Australia"
Bjelašnica,2067,6781,,"Sarajevo Canton, Bosnia and Herzegovina"
Kings Peak,2065,6775,,"Vancouver Island, British Columbia, Canada"
Hoverla,2061,6762,,Ukraine – Highest
Monte Miletto,2050,6726,,Molise Italy
Lytton Mountain,2049,6722,,"British Columbia, Canada"
Mount Katmai,2047,6716,,"Alaska, US"
Mount Dimlang,2042,6699,,"Adamawa, Nigeria"
Mount Celeste,2041,6696,,"Vancouver Island, British Columbia, Canada"
Mount Mitchell,2037,6683,,"Yancey County, North Carolina, US - the highest peak of the Appalachian Mountains and the highest peak in mainland eastern North America"
Namunukula,2035,6677,,Sri Lanka
Pico do Barbado,2033,6670,,"Bahia, Brazil – Highest point in Bahia"
Mount Batu Brinchang,2032,6667,,"Cameron Highlands, Pahang/Perak, Malaysia"
Doi Mae Tho,2031,6663,,Thailand
Clingmans Dome,2025,6644,,"Great Smoky Mountains, Tennessee, US"
Mount Heng (Shanxi),2017,6617,,"Shanxi, China"
Kopaonik,2017,6617,,"Pančić's Peak, Serbia"
Alpe di Succiso,2017,6617,,Province of Reggio Emilia Italy
Kom,2016,6614,,"Balkan Mountain, Bulgaria"
Polar Bear Peak,2016,6614,,"Chugach Mountains, Alaska, US"
Mount Asgard,2015,6611,,"Baffin Mountains, Nunavut, Canada"
Mount Le Conte,2010,6594,,"Great Smoky Mountains, Tennessee, US"
Serra da Estrela,1993,6539,,Portugal
Mount Bogong,1986,6516,,Australia – Highest in Victoria
Mount Ishizuchi,1982,6503,,Japan – Tallest in Western Japan
Doi Phu Kha,1980,6496,,"Luang Prabang Range, Thailand"
Pizzo Carbonara,1979,6493,,Province of Palermo Sicily
Topo de Coroa,1979,6493,,Cape Verde
Mount Tongariro,1978,6490,,New Zealand
Iceberg Peak,1977,6486,,"Vancouver Island, British Columbia, Canada"
Pico Turquino,1975,6480,,Cuba – Highest point
El Piveto Mountain,1969,6460,,"Vancouver Island, British Columbia, Canada"
Qiajivik Mountain,1963,6440,,"Baffin Island, Nunavut, Canada"
Monte Tamaro,1962,6437,,"Ticino, Switzerland"
Farcau Peak,1956,6417,,Romania
Montalto (Aspromonte),1955,6414,,Calabria Italy
Ciucas Peak,1954,6411,,Romania
Chionistra,1952,6404,,Cyprus
Hallasan,1950,6398,,"Jejudo, South Korea – Highest Mountain in South Korea"
Jabal Bil Ays,1934,6345,,Oman
Mullayanagiri,1930,6332,,"Chikmagalur, Karnataka, India"
Helvetia Tinde,1929,6329,,"Roosevelt Range – Highest peak in Peary Land, Northern Greenland"
Botte Donato,1928,6325,,"Sila Mountains, Calabria, Italy"
Mount Kirigamine,1925,6316,,Japan
Mount Washington,1917,6289,,"Presidential Range, White Mtns., Appalachian Mountains, US – Highest in American Northeast"
Mount Siku,1915,6283,,"Pahang, Malaysia"
Mount Jiri,1915,6283,,South Korea
Troglav,1913,6276,,"Highest peak of mountain Dinara, Bosnia and Herzegovina"
Mont Ventoux,1909,6263,,France
Ocolasu Mare,1907,6257,,Romania
Mount Toaca,1900,6234,,Romania
Vesper Peak,1896,6220,,"Washington, US"
Baba Budangiri,1895,6217,,"Chikmagalur, Karnataka, India"
Mount Narodnaya,1895,6217,,"Subpolar Urals, Russia"
Kudremukh,1894,6214,,"Chikmagalur, Karnataka, India"
Orjen,1894,6214,,"Montenegro, Bosnia and Herzegovina"
Iskhodnaya,1887,6191,,Russia – Highest of the Chukotka Mountains
Mount George V,1883,6178,,"Vancouver Island, British Columbia, Canada"
Rugged Mountain,1875,6152,,"Vancouver Island, British Columbia, Canada"
Agastya Mala,1868,6129,,"Tamil Nadu/Kerala, India"
Trident Volcano,1864,6115,,"Alaska, US"
Mount Martin,1863,6112,,"Alaska, US"
Knuckles,1862,6109,,Sri Lanka
Pico Ruivo,1861,6106,,"Madeira, Portugal"
Budacu,1859,6099,,Romania
Giumalau,1856,6089,,Romania
Pico das Torres,1853,6079,,"Madeira, Portugal"
Mont Ross,1850,6070,,"Gallieni Massif, Kerguelen Islands"
Cucurbata Mare,1849,6066,,Romania
Monte Soro,1847,6060,,Province of Messina Sicily
Mount Ulap,1846,6056,,"Itogon, Benguet, Philippines"
Crown Mountain,1846,6056,,"Vancouver Island, British Columbia, Canada"
Tibles,1839,6033,,Romania
Loser,1838,6030,,Austria
Vladeasa,1836,6024,,Romania
Punta La Marmora,1834,6017,,Sardinia
Sinjal,1831,6007,,Mountain Dinara – Highest peak of Croatia
Cerro La Campana,1828,5997,,"Olmue, Chile"
Gora Nevskaya,1828,5997,,"Magadan Oblast, Russia – Highest of the Kolyma Mountains"
Muntele Mare,1826,5991,,Romania
Cerro de la Silla,1820,5971,,Mexico
Pico do Arieiro,1818,5965,,"Madeira, Portugal"
Biligiriranga Hills,1800,5906,,"Chamarajanagar, Karnataka, India"
Monte Maggiorasca,1799,5902,,liguria - Emilia-Romagna Italy
Rigi,1797,5896,,Swiss Alps
Hășmașu Mare,1792,5879,,Romania
Pietrosu Peak,1791,5876,,Romania
Goru,1784,5853,,Romania
Blokhin Peak,1779,5837,,"Chukotka, Russian Federation – Highest in Anyuy Range"
Velliangiri Mountains,1778,5833,,"Coimbatore, Tamil Nadu, India"
Lacaut,1777,5830,,Romania
Saca Peak,1776,5827,,Romania
Penteleu,1772,5814,,Romania
Mount Veve,1768,5801,,"Kolombangara, Solomon Islands"
Mount Adams,1766,5794,,"New Hampshire, US"
Monte Gariglione,1764,5787,,"Sila Mountains, Calabria, Italy"
Sveti Jure (Saint George),1762,5781,,"Mountain Biokovo, Croatia"
Pik Sovetskoy Gvardii,1759,5771,,"Chukotka, Russian Federation"
Vaganski vrh,1757,5764,,"Mountain Velebit, Croatia"
Mount Api,1750,5741,,"Gunung Mulu National Park, Sarawak, Malaysia"
Lovćen,1749,5738,,Montenegro
Tadiandamol,1748,5735,,"Kodagu, Karnataka, India"
Mount Rogers,1746,5728,,"Virginia, US – Highest point in state"
Doi Phi Pan Nam,1745,5725,,"Luang Prabang Range, Thailand"
Mount Wilson,1742,5715,,"California, US"
Mount Jefferson,1741,5712,,"New Hampshire, US"
Monte Amiata,1738,5702,,Province of Grosseto Italy
Daisen,1729,5673,,Japan
The Horn (Mount Buffalo),1723,5653,,"Victoria, Australia"
Mount Batur,1717,5633,,"Bali, Indonesia"
Kumara Parvata,1712,5617,,"Dakshina Kannada, Karnataka, India"
Pushpagiri,1712,5617,,"Pushpagiri Wildlife Sanctuary, Karnataka, India"
Mount Lowe,1707,5600,,"San Gabriel Mountains, California, US"
Boulder Peak,1707,5600,,"Olympic Mountains, Washington, US"
Doi Luang,1694,5558,,Thailand – Highest in the Phi Pan Nam Range
Mitre Peak,1692,5551,,New Zealand
Arma Konda,1680,5512,,India – Highest in Andhra Pradesh
Deomali,1672,5486,,India – Highest in Odisha
Mount Caubvik,1652,5420,,"Torngat Mountains, Canada"
Kalsubai,1646,5400,,India – Highest in Maharashtra State
Rarau,1650,5413,,Romania
Peak 5390,1643,5390,,"Alaska, US"
Yamantau,1640,5381,,"Southern Urals, Russia"
Mount Monroe,1637,5371,,"New Hampshire, US"
Mount Madison,1636,5367,,"New Hampshire, US"
Mount Krebs,1630,5348,,Antarctica
Mount Marcy,1629,5344,,"New York, US"
Trebević,1627,5338,,Bosnia and Herzegovina
Mount Bartle Frere,1622,5322,,"Queensland, Australia"
Rocca Busambra,1613,5292,,Province of Palermo Sicily
Velky Rozsutec,1610,5282,,"Mala Fatra, Slovakia"
Brahmagiri,1608,5276,,"Kodagu, Karnataka, India"
Mount Katahdin,1606,5269,,"Maine, US"
Sněžka,1602,5256,,"Krkonoše, Czech Republic – #1 in Czech Republic"
Sirumalai,1600,5249,,Tamil Nadu India
Mount Lafayette,1600,5249,,"New Hampshire, US"
Mount Washington (British Columbia),1590,5217,,"Vancouver Island, British Columbia, Canada"
Mount Benarat,1585,5200,,"Gunung Mulu National Park, Sarawak, Malaysia"
Wai'ale'ale,1569,5148,,"Kauai, Hawaii, US"
Salher,1567,5141,,"Maharashtra, India"
Cirque Mountain,1567,5141,,"Labrador, Canada"
Algonquin Peak,1559,5115,,"New York, US"
Mount Lincoln,1551,5089,,"New Hampshire, US"
Superstition Mountain,1542,5059,,"Arizona, US"
Mount Tai,1532,5026,,"Shandong, China"
Jabel Yibir,1527,5010,,United Arab Emirates
Madikeri,1525,5003,,"Kodagu, Karnataka, India"
Mount Popa,1518,4980,,Myanmar
Askja,1516,4974,,Iceland
Monte Boglia,1516,4974,,"Ticino, Switzerland"
Kamakau,1512,4961,,"Molokai, Hawaii, US"
Song Shan,1512,4961,,"Henan, China"
Pico de Malpaso,1501,4925,,"Canary Islands, Spain"
Javaleon,1494,4902,,Spain
Mount Nuang,1491,4892,,"Titiwangsa Mountains, Malaysia"
Hekla,1491,4892,,Iceland
Mount Pinatubo,1486,4875,,"Luzon, Philippines"
Spruce Knob,1482,4862,,"West Virginia, US"
Lyaskovets Peak,1473,4833,,Antarctica
Mount Olympus,1471,4826,,"Tasmania, Australia"
Agriolefkes,1471,4826,,"Pelion, Greece"
La Grande Soufrière,1467,4813,,"Guadeloupe, France"
Monte Penice,1460,4790,,Lombardy - Emilia-Romagna Italy
Mount Seymour,1455,4774,,"British Columbia, Canada"
Himavad Gopalaswamy Betta,1450,4757,,"Chamarajanagar, Karnataka, India"
Snæfellsjökull,1446,4744,,Iceland
Gutai Peak,1443,4734,,Romania
Mount Kalourat,1435,4708,,"Malaita, Solomon Islands"
Mount Woodroffe,1435,4708,,South Australia
Cypress Mountain,1432,4698,,"British Columbia, Canada"
Taramati,1431,4695,,"Maharashtra, India"
Harishchandragad,1427,4682,,"Maharashtra, India"
Tukgahgo Mountain,1425,4675,,"Alaska, US"
Raireshwar,1398,4587,,"Maharashtra, India"
Taburno Camposauro,1393,4570,,Campania Italy
Parasnath,1366,4482,,India – Highest in Jharkhand State
Dhupgarh,1350,4429,,India – Highest in Madhya Pradesh
Ben Nevis,1345,4413,,"Scotland, United Kingdom – Highest in the United Kingdom"
Kodachadri,1343,4406,,"Shimoga, Karnataka, India"
Mount Jiuhua,1342,4403,,"Anhui, China"
Mount Aniakchak,1341,4400,,"Alaska, US"
Mount Mansfield,1339,4393,,"Green Mountains, Vermont, US"
Cerro de Punta,1338,4390,,"Jayuya, Puerto Rico – Highest in Puerto Rico"
Mount Bassie,1311,4301,,"Alaska, US"
Ben Macdui,1309,4295,,"Scotland, United Kingdom"
Mount Kanaga,1307,4288,,"Alaska, US"
Sinhagad,1303,4275,,"Maharashtra, India"
Mount Heng (Hunan),1300,4265,,"Hunan, China"
Braeriach,1296,4252,,"Scotland, United Kingdom"
Rajabasa,1281,4203,,"Sumatra, Indonesia"
Mount Vesuvius,1281,4203,,Italy
Mount Ophir,1276,4186,,"Titiwangsa Mountains, Johor, Malaysia"
Bailadila,1276,4186,,India – Highest in Chhattisgarh State
Mount Wellington,1271,4170,,"Tasmania, Australia"
Mount Si,1270,4167,,"Washington, US"
Mount Qingcheng,1260,4134,,"Sichuan, China"
Detunata,1258,4127,,Romania
Mount Donna Buang,1250,4101,,"Victoria, Australia"
Kīlauea,1247,4091,,"Hawaii, US"
Camel's Hump,1244,4081,,"Vermont, US"
Cannon Mountain,1240,4068,,"New Hampshire, US"
The Priest,1238,4062,,"Blue Ridge Mountains, Virginia, US"
Aonach Beag,1234,4049,,"Scotland, United Kingdom"
Grouse Mountain,1231,4039,,"British Columbia, Canada"
Kaʻala,1220,4003,,"Oahu, Hawaii, US"
Mount Jerai,1217,3993,,"Titiwangsa Mountains, Kedah, Malaysia"
Mount Meron,1208,3963,,"Galilee, Israel – Highest in Israel (inside the '67 borders)"
Mount Fromme,1185,3888,,"British Columbia, Canada"
Doi Ian,1174,3852,,"Phi Pan Nam Range, Thailand"
Mount Diablo,1173,3848,,"California, US"
Mount Hombori,1155,3789,,Mali – Highest in Mali
Lochnagar,1155,3789,,Scotland
Bidean nam Bian,1150,3773,,Scotland
Monte Musinè,1150,3773,,"Piedmont, Italy"
Brocken,1141,3743,,"Saxony-Anhalt, Germany – Highest mountain in the Harz; highest in Saxony-Anhalt"
Victoria Peak,1120,3675,,Belize – 2nd highest mountain in Belize
Gora Sovetskaya,1096,3596,,"Wrangel Island, Chukotka – Highest in Wrangel Island"
Kayser Mountain,1094,3589,,"Greenland, Denmark"
Mount Juneau,1090,3576,,"Alaska, US"
Snowdon,1085,3560,,"Gwynedd, Wales, United Kingdom – Highest in Wales"
Tafelberg,1085,3560,,South Africa
Flattop Mountain,1070,3510,,"Alaska, US"
Uummannaq,1070,3510,,Greenland
White Butte,1069,3507,,"North Dakota, US – Highest in state"
Hogback Mountain,1059,3474,,"Virginia, US"
Liathach,1055,3461,,"Torridon, Scotland"
Saka Haphong,1052,3451,,"Bandarban, Bangladesh"
Cambirela,1043,3422,,"Palhoça, Brazil"
Corrán Tuathail,1038,3406,,"County Kerry, Ireland – Highest mountain in Ireland"
Mount Ramon,1037,3402,,"Negev, Israel"
Girnar,1031,3383,,"– Gujarat, India"
Mount Zagora,1030,3379,,Morocco
Buachaille Etive Mor,1022,3353,,"Glen Etive, Scotland"
Munboksan,1015,3330,,South Korea
Kékes,1014,3327,,Hungary – Highest mountain in Hungary
Mount Belumut,1010,3314,,"Johor, Malaysia"
Old Rag Mountain,1001,3284,,"Virginia, US"
Magura Priei,996,3268,  ,Romania
Sgurr Dearg,986,3235,Cuillin  ,Scotland
Mount Sizer,980,3215,Diablo Range  ,US (California)
Mount Valin,980,3215,Saguenay Lac St-Jean  ,Canada (Québec)
Hyangnosan,979,3212,  ,"Gyeongnam Province, South Korea"
Scafell Pike,978,3209,Southern Fells  ,England (Cumbria) – Highest in England
Mount Edgecumbe,976,3202,   ,US (Alaska)
Grand Bonhomme,973,3192,  ,Saint Vincent and the Grenadines
North Mountain (Catskills),969,3179,Catskill Escarpment  ,US (New York)
Doli Gutta,965,3166,Deccan Plateau  ,India – Highest in Telangana State
Mount Monadnock,965,3166,  ,US (New Hampshire) – One of the most frequently climbed in the world
Mount Pirongia,959,3146,Hakarimata Range  ,New Zealand
Tai Mo Shan,957,3140,  ,Hong Kong – Highest in Hong Kong
Chimneytop,950.1,3117,Bays Mountain Range  ,"Tennessee, US"
Helvellyn,950,3117,Eastern Fells  ,England (Cumbria)
Mount Gimie,950,3117,  ,Saint Lucia – Highest point
El Cerro del Aripo,940,3084,Northern Range  ,Trinidad and Tobago – Highest point
El Tucuche,936,3071,Northern Range  ,Trinidad and Tobago
Lantau Peak,934,3064,  ,Hong Kong
Betlingchhip,930,3051,Jampui Hills  ,India – Highest in Tripura
Kaimondake volcano,924,3031,  ,"Kagoshima, Japan"
San Salvatore,912,2992,  ,"Ticino, Switzerland"
Pantokrator,906,2972,  ,Greece (Corfu)
Edinburgh Peak,904,2966,  ,"Tristan Da Cunha, UK"
Cadair Idris,893,2930,  ,Wales
Pen y Fan,886,2907,  ,Wales
Baekunsan,885,2904,  ,"Ulsan, South Korea"
Mount Gerizim,881,2890,  ,West Bank
Sunset Peak,869,2851,  ,Hong Kong
Mahuli,858,2815,  ,"Thane District, Maharashtra, India"
Mount Taylor,856,2808,  ,"Canberra, Australia"
Slieve Donard,856,2808,Mourne Mountains  ,"County Down, Northern Ireland"
Tinakula,851,2792,Tinakula  ,Solomon Islands
Muntele Cetatuia,850,2789,  ,Romania
Mount Saint Catherine,840,2756,  ,Grenada – Highest Point
Mount Magazine,839,2753,Ozark Mountains  ,"Arkansas, US"
Hoemunsan,837,2746,  ,"North Jeolla Province, South Korea"
Bukhansan (Baegundae Peak),836.5,2744,  ,"Seoul, South Korea"
Drocea,836,2743,  ,Romania
Piton de la Petite Rivière Noire,828,2717,  ,"Black River Mountain Range, Mauritius"
Pieter Both (mountain),820,2690,  ,Mauritius
Mount Carleton,817,2680,Appalachian Mountains  ,Canada (New Brunswick)
The Cheviot,815,2674,Cheviot Hills  ,England (Northumberland)
Le Pouce,811,2661,  ,Mauritius
Mount Santubong,810,2657,  ,Malaysia (Sarawak)
Gros Morne,807,2648,  ,Canada (Newfoundland)
Clisham,799,2621,  ,"Harris, Western Isles, Scotland"
Mount Tamalpais,792,2598,California Coast Ranges  ,US (California)
Mission Peak,790,2592,Diablo Range  ,US (California)
Gyemyeongsan,774,2539,  ,"North Chungcheong Province, South Korea"
Mount Boucherie,758,2487,  ,Canada (British Columbia)
Daeunsan,742,2434,  ,South Korea
Mount Dobong,740,2428,  ,South Korea
Mount Lofty,727,2385,  ,South Australia
Ben Cleuch,721,2365,  ,Scotland
Corps de Garde,720,2362,  ,Mauritius
Gaseopsan,710,2329,  ,"North Chungcheong Province, South Korea"
Mount Dick,705,2313,  ,"Auckland Islands, New Zealand"
Piton Savanne,704,2310,  ,Mauritius
Pu‘u ‘Ō‘ō,698,2290,  ,US (Hawaii)
Signal de Botrange,694,2277,High Fens  ,Belgium (Liège) – Highest in Belgium
Ishpatina Ridge,690,2264,  ,Canada (Ontario)
Curepipe Point,686,2251,  ,Mauritius
Galgisan,685,2247,  ,"Gyeonggi Province and Gangwon Province, South Korea"
Delphi,681,2234,  ,Greece (Skopelos)
Qalorujoorneq,676,2218,  ,Greenland
Lion's Head,669,2195,  ,"Cape Town, South Africa"
Les Trois Mamelles,666,2185,  ,Mauritius
Steling,658,2159,High Fens  ,Belgium
Maple Mountain,642,2106,  ,Canada (Ontario)
Mountain Lagrave (Montage Lagrave),638,2093,  ,Mauritius
Kinder Scout,636,2087,  ,"Peak District, England – Highest in Peak District"
Masaya Volcano,635,2083,  ,Nicaragua
Calebasses Mountain (Montagne Calebasses),632,2073,  ,Mauritius
Mount D'Urville,630,2067,  ,"Auckland Islands, New Zealand"
Moel Eilio,629,2064,  ,"Snowdonia, Wales"
High Willhays,621,2037,  ,England (Dartmoor)
Snaefell,621,2037,  ,"Isle of Man, British Isles"
Beinn Mhòr,620,2034,  ,"South Uist, United Kingdom"
Munsusan (Ulsan),600,1969,  ,"Ulsan, South Korea"
Mount Takao,599,1965,  ,"Tokyo, Japan"
Piton de Fouge,596,1955,  ,Mauritius
Sikjangsan,596,1955,  ,"Daejeon, South Korea"
Forbordsfjellet,590,1936,  ,"Nord-Trøndelag, Norway"
Piton du Millieu,589,1932,  ,Mauritius
Gwanggyosan,582,1909,  ,"Gyeonggi Province, South Korea"
Mount Pond,576,1890,  ,South Shetland Islands
Mount Tabor,575,1886,  ,"Galilee, Israel"
Monte Conero,572,1877,  ,Italy (Ancona)
Gyeryongsan,566,1857,  ,"South Gyeongsang Province, South Korea"
Mount Honey,558,1831,  ,"Campbell Islands, New Zealand"
Le Morne Brabant,555,1821,  ,Mauritius
Tourelle du Tamarin,548,1798,  ,Mauritius
Rempart Mountain (Montagne du Rempart),545,1788,  ,Mauritius
Palasip Qaqqaa (Præstefjeldet),544,1785,  ,"Qeqqata, Greenland"
Namamsan,543,1781,  ,"Ulsan, South Korea"
Taum Sauk Mountain,540,1772,  ,"Missouri, US"
Great Mell Fell,537,1762,Eastern Fells  ,England (Cumbria)
Geomdansan (Seongnam),534.7,1754,  ,"Gyeonggi Province, South Korea"
Mountain Blanche (Montagne Blanche),532,1745,  ,Mauritius
Yeonhwasan,532,1745,  ,"Ulsan, South Korea"
Heukseongsan,519,1703,  ,"North Chungcheong Province, South Korea"
Avala,511,1677,  ,Serbia
Mountain La Terre (Mont La Terre),504,1654,  ,Mauritius
Lion Mountain (Montagne Lion),480,1575,  ,Mauritius
Little Si,480,1575,Cascade Range  ,"Washington, US"
Mount Ramsay,475,1558,  ,Antarctica
Tutuiatu Peak,467,1532,  ,Romania
Mount Keira,462,1516,  ,"New South Wales, Australia - near the city of Wollongong"
Pu'u Moaulanui,452,1483,  ,"Kahoolawe, Hawaii"
Blue Mountain,452,1483,  ,"Ontario, Canada"
Muryongsan (Ulsan),452,1483,  ,"Ulsan, South Korea"
Achladokambos,450,1476,  ,"Achadokambos, Greece"
Dongdaesan (Ulsan),447,1467,  ,"Ulsan, South Korea"
Diamond Hill,442,1450,Connemara National Park  ,Ireland
Gibraltar,426,1398,  ,Gibraltar
Pic Paradis,424,1391,  ,Saint Martin (France) – Highest point
Havsula,415,1362,  ,"Svalbard, Norway"
Storm King Mountain,408,1339,Hudson Highlands  ,US (New York)
Gyeyangsan,395,1296,  ,"Incheon, South Korea"
Mount Galloway,366,1201,  ,"Antipode Islands, New Zealand"
Pawala Valley Ridge,347,1138,  ,Pitcairn Islands (United Kingdom) – Highest point
Loughrigg Fell,335,1099,Central Fells  ,England (Cumbria)
Mount Kinka (Gifu),329,1079,  ,"Gifu, Japan"
Vaalserberg,321,1053,  ,Netherlands (Limburg)
Mount Bates,319,1047,"Norfolk Island, Australia  ",{{{4}}}
Suur Munamägi,318,1043,  ,"Haanja, Estonia"
Gaiziņkalns,312,1024,  ,Latvia – Highest Point in Latvia
Mutla Ridge,306,1004,  ,Kuwait – Highest point
Aukštojas,293.84,964,  ,"Medininkai, Lithuania"
Kruopinė,293.65,963,  ,"Vilnius, Lithuania"
Juozapinė,292.7,960,  ,"Vilnius, Lithuania"
Morne du Vitet,286,938,  ,Saint Barthélemy (France) – Highest point
Qixia Mountain,286,938,  ,"Nanjing, China"
Hwajangsan,285,935,  ,"Ulsan, South Korea"
Potolaka/Putuo Shan,284,932,  ,"Zhejiang, China"
Westmacott,253,830,  ,"New South Wales, Australia"
Jerimoth Hill,247,810,  ,"Rhode Island, US"
Mount Ngerchelchuus,242,794,  ,"Babeldaob, Palau – Highest point"
Diamond Head,232,761,  ,US (Hawaii)
Yeomposan,203,666,  ,"Ulsan, South Korea"
Hamwolsan,200,656,  ,"Ulsan, South Korea"
Great Blue Hill,193.5,635,  ,"Massachusetts, US"
Alto de Coloane,170,558,  ,Macau – Highest point
Bukit Timah Hill,164,538,  ,Singapore – Highest point
Himmelbjerget,147,482,  ,Silkeborg (Denmark) – In order to reach the ascent the Ferry Hjejlen can be used
Les Platons,143,469,  ,Jersey (United Kingdom) – Highest point
Aborrebjerg,143,469,  ,"Møn, Denmark"
Māngere Mountain,107,351,  ,New Zealand
Britton Hill,105,344,  ,"Florida, US – The lowest high point of any U.S. state"
Qurayn Abu al Bawl,103,338,  ,Qatar – Highest point
Command Ridge,71,233,  ,Nauru – Highest point
Mount Wycheproof,43,141,  ,"Victoria, Australia – smallest mountain"
Hoge Blekker,35,115,  ,"West Flanders, Belgium – Shortest mountain in Belgium"
Bentenyama,6.1,20,  ,"Tokushima, Tokushima Prefecture, Japan"
Mount Pleasant,5,16,  ,"Texas, US – Shortest Mountain in Texas"
Mount Tenpō,4.53,15,  ,"Osaka, Japan"
Tianzhong Mountain,3.6,12,  ,"Henan Province, China"
Mount Hiroyama,3,10,  ,"Sendai, Japan – Shortest Mountain in Japan"
Jing Mountain [yue],0.6,2,  ,"Shandong Province, China – Shortest Mountain in China"
