Family,Scientific name,English name,Swedish name,Habitat,Occurrence,Red List Status
Paralepididae (Barracudina),Arctozenus risso,N/A,Mindre laxtobis,Marine,Sporadic,Not evaluated
Paralepididae,Magnisudis atlantica,N/A,Laxtobis,Marine,Sporadic,Not evaluated
Acipenseridae,Acipenser baerii,Sturgeon,Sibirisk stör,brackish water,Introduced; not established,Not evaluated
Acipenseridae,Acipenser gueldenstaedti,N/A,Rysk stör,brackish water,Introduced; not established,Not evaluated
Acipenseridae,Acipenser ruthenus,N/A,Sterlett,"Fresh water, brackish water","Introduced, not established",Not evaluated
Acipenseridae,Acipenser oxyrinchus,N/A,Stör,"Fresh, marine and brackish water","Sporadic, previously native and common",Disappeared (RE)
Acipenseridae,Huso huso,Beluga sturgeon,Beluga stör,brackish water,"Introduced, not established",Not evaluated
Anguillidae,Anguilla anguilla,European eel,Ål,"Fresh, marine and brackish water",Native and common,Critically endangered (CR)
Congridae,Conger conger,European conger,Havsål,Marine,Native and common,Not evaluated
Nemichthyidae,Nemichthys scolopaceus,Slender snipe eel,Trådål,Marine,Sporadic,Not evaluated
Triakidae,Galeorhinus galeus,School Shark,Gråhaj,Marine,Native and common,Vulnerable (VU)
Triakidae,Mustelus asterias,Starry smooth-hound,Nordlig hundhaj / Glatthaj,Marine,Sporadic,Not evaluated
Carcharhinidae,Carcharhinus longimanus,Oceanic whitetip shark,Årfenhaj,Marine,Sporadic,Not evaluated
Carcharhinidae,Prionace glauca,Blue shark,Blåhaj,Marine,Sporadic,Not evaluated
Pentanchidae,Galeus melastomus,Blackmouth catshark,Hågäl,Marine,Sporadic,Not evaluated
Scyliorhinidae,Scyliorhinus canicula,Small-spotted catshark,Småfläckig rödhaj,Marine,Native and common,Data deficiency (DD)
Scyliorhinidae,Scyliorhinus stellaris,Nursehound,Storfläckig rödhaj,Marine,Sporadic,Not evaluated
Berycidae,Beryx decadactylus,Alfonsino,Nordisk beryx,Marine,Sporadic,Not evaluated
Belonidae,Belone belone,Garfish,Näbbgädda / Horngädda,Marine and brackish,Native and common,Not evaluated
Scomberesocidae,Scomberesox saurus,Atlantic saury,Makrillgädda,Marine,Sporadic,Not evaluated
Batrachoididae,Halobatrachus didactylus,N/A,Marine,Sporadic,Not evaluated,
Chimaeridae,Chimaera monstrosa,N/A,Havsmus,Marine,Native and common,Vulnerable (VU)
Clupeidae (herrings),Alosa alosa,Shad,Majfisk,"Fresh, marine and brackish water",Native and common,Not available (NA)
Clupeidae,Alosa fallax,twait shad,Staksill,"Fresh, marine and brackish water",Native and common,Not available (NA)
Clupeidae,Clupea harengus,Atlantic herring,Sill / strömming,"Marine, brackish water",Native and common,Not evaluated
Clupeidae,Sardina pilchardus,European pilchard (True sardine),Sardin,Marine,Sporadic,Not evaluated
Clupeidae,Sprattus sprattus,European sprat,Skarpsill / Vassbuk,"Marine, brackish water",Native and common,Not evaluated
Engraulididae (anchovies),Engraulis encrasicolus,European anchovy,Ansjovis,Marine,Native and common,Not evaluated
Cyprinidae (carps),Abramis ballerus,Blue bream (zope),Faren,Fresh water,Native and common,Least concern (LC)
Cyprinidae,Abramis bjoerkna,White bream,Björkna,Fresh water,Native and common,Not evaluated
Cyprinidae,Abramis brama,Carp bream,Braxen,Fresh and brackish water,Native and common,Not evaluated
Cyprinidae,Abramis vimba,Vimba,Vimma,Fresh water,Native and common,Data deficiency (DD)
Cyprinidae,Alburnus alburnus,Bleak,Löja / benlöja,Fresh water,Native and common,Not evaluated
Cyprinidae,Aspius aspius,Asp,Asp,Fresh water,Native and common,Vulnerable (VU)
Cyprinidae,Carassius carassius,Crucian carp,Ruda,Fresh water,Native and common,Not evaluated
Cyprinidae,Ctenopharyngodon idella,Grass carp or white amur,Gräskarp,Fresh water,Introduced,Not evaluated
Cyprinidae,Cyprinus carpio,Common or European carp,Karp,Fresh water,Introduced,Not evaluated
Cyprinidae,Gobio gobio,Gudgeon,Sandkrypare,Fresh water,Native and common,Least concern (LC)
Cyprinidae,Hypophthalmichthys molitrix,Silver carp,Silverkarp,Fresh water,Introduced,Not evaluated
Cyprinidae,Hypophthalmichthys nobilis,Bighead carp,Marmorkarp,Fresh water,Introduced,Not evaluated
Cyprinidae,Leucaspius delineatus,N/A,Groplöja,Fresh water,Native and common,Near threatened (NT)
Cyprinidae,Leuciscus idus,Ide or orfe,Id,Fresh and brackish water,Native and common,Not evaluated
Cyprinidae,Leuciscus leuciscus,Common dace,Stäm,Fresh water,Native and common,Not evaluated
Cyprinidae,Pelecus cultratus,N/A,Skärkniv,Fresh and brackish water,Sporadic,Not available (NA)
Cyprinidae,Phoxinus phoxinus,Eurasian minnow,Elrita,Fresh and brackish water,Native and common,Not evaluated
Cyprinidae,Rutilus rutilus,Roach,Mört,Fresh and brackish water,Native and common,Not evaluated
Cyprinidae,Scardinius erythrophthalmus,Rudd,Sarv,Fresh and brackish water,Native and common,Not evaluated
Cyprinidae,Squalius cephalus,Chub,Färna,Fresh water,Native and common,Least concern (LC)
Cyprinidae,Tinca tinca,Tench,Sutare,Fresh and brackish water,Native and common,Not evaluated
Cobitidae,Cobitis taenia,Spined loach,Nissöga,Fresh and brackish water,Native and common,Least concern (LC)
Balitoridae,Barbatula barbatula,N/A,Grönling,Fresh water,Native and common,Least concern (LC)
Esocidae,Esox lucius,Pike,Gädda,Fresh and brackish water,Native and common,Not evaluated
Gadidae,Gadiculus thori,N/A,Silvertorsk,Marine,Native and common,Not evaluated
Gadidae,Gadus morhua,Atlantic cod,Torsk,"Marine, brackish water",Native and common,Endangered (EN)
Gadidae,Melanogrammus aeglefinus,Haddock,Kolja,Marine,Native and common,Near threatened (NT)
Gadidae,Merlangius merlangus,Whiting,Vitling,Marine,Native and common,Not evaluated
Gadidae,Micromesistius poutassou,Blue whiting,Kolmule / blåvitling,Marine,Native and common,Not evaluated
Gadidae,Pollachius pollachius,"Pollock (Atlantic, or European)",Lyrtorsk / Bleka,Marine,Native and common,Endangered (EN)
Gadidae,Pollachius virens,Pollock (coalfish),Gråsej,Marine,Native and common,Not evaluated
Gadidae,Trisopterus esmarkii,N/A,Vitlinglyra,Marine,Native and common,Not evaluated
Gadidae,Trisopterus luscus,Bib or pouting,Skäggtorsk,Marine,Sporadic,Not evaluated
Gadidae,Trisopterus minutus,Poor cod,Glyskolja,Marine,Native and common,Not evaluated
Lotidae,Brosme brosme,Cusk,Lubb,Marine,Native and common,Not evaluated
Lotidae,Ciliata mustela,N/A,Femtömmad skärlånga,Marine,Native and common,Least concern (LC)
Lotidae,Ciliata septentrionalis,N/A,Nordlig skärlånga,Marine,Sporadic,Not evaluated
Lotidae,Enchelyopus cimbrius,Fourbeard rockling,Fyrtömmad skärlånga,Marine,Native and common,Not evaluated
Lotidae,Gaidropsarus vulgaris,N/A,Tretömmad skärlånga,Marine,Native and common,Not available (NA)
Lotidae,Lota lota,Burbot,Lake,Fresh and brackish water,Native and common,Endangered (EN)
Lotidae,Molva dypterygia,N/A,Birkelånga,Marine,Native and common,Not evaluated
Lotidae,Molva molva,Common ling,Långa,Marine,Native and common,Vulnerable (VU)
Macrouridae,Coryphaenoides rupestris,N/A,Skoläst,Marine,Native and common,Vulnerable (VU)
Macrouridae,Malacocephalus laevis,N/A,Småfjällig skoläst,Marine,Sporadic,Not evaluated
Merlucciidae,Merluccius merluccius,European hake,Kümmel,Marine,Native and common,Not evaluated
Phycidae,Phycis blennoides,N/A,Fjällbrosme,Marine,Native and common,Not evaluated
Ranicipitidae,Raniceps raninus,N/A,Paddtorsk,Marine,Native and common,Not evaluated
Macroramphosidae,Macroramphosus scolopax,Longspine snipefish,Snäppfisk,Marine,Sporadic,Not evaluated
Gasterosteidae,Gasterosteus aculeatus,Three-spined stickleback,Stor spigg,"Fresh, marine and brackish water",Native and common,Not evaluated
Gasterosteidae,Pungitius pungitius,N/A,Små spigg,"Fresh, marine and brackish water",Native and common,Not evaluated
Gasterosteidae,Spinachia spinachia,N/A,,Marine,Native and common,Not evaluated
Syngnathidae,Entelurus aequoreus,Snake pipefish,Större havsnål,Marine,Native and common,Not evaluated
Syngnathidae,Nerophis lumbriciformis,Worm pipefish,Krumnosig havsnål,Marine,Native and common,Not evaluated
Syngnathidae,Nerophis ophidion,Straightnose pipefish,Mindre havsnål,Marine,Native and common,Not evaluated
Syngnathidae,Syngnathus acus,Greater pipefish,Större kantnål,Marine,Native and common,Not evaluated
Syngnathidae,Syngnathus rostellatus,Lesser pipefish,Mindre kantnål,Marine,Native and common,Not evaluated
Syngnathidae,Syngnathus typhle,Broadnosed pipefish,,Marine,Native and common,Not evaluated
Alopiidae,Alopias vulpinus,Long-tailed thresher shark,rävhaj,Marine,Sporadic,Not evaluated
Alopiidae,Cetorhinus maximus,Basking Shark,Brugd,Marine,Sporadic,Endangered (EN)
Alopiidae,Lamna nasus,Porbeagle Shark,"Håbrand,Sillhaj",Marine,Native and common,Critically endangered (CR)
Myxinidae,Myxine glutinosa,Hagfish,Pirål,Marine,Native and common,Not evaluated
Lampridae (Opah),Lampris guttatus,N/A,,Marine,Sporadic,Not evaluated
Regalecidae,Regalecus glesne,King of herrings,,Marine,Sporadic,Not evaluated
Trachipteridae,Trachipterus arcticus,N/A,,Marine,Sporadic,Not evaluated
Myctophidae (Lanternfish),Notoscopelus kroyeri,N/A,,Marine,Sporadic,Not evaluated
Lophiidae,Lophius piscatorius,Angler,Marulk,Marine,Native and common,Not evaluated
Mugilidae (Mullets),Chelon labrosus,N/A,,Marine,Native and common,Not evaluated
Mugilidae,Liza aurata,N/A,,Marine,Sporadic,Not evaluated
Mugilidae,Liza ramada,N/A,,Marine,Sporadic,Not evaluated
Osmeridae,Mallotus villosus,Capelin,Lodda,Marine,Sporadic,Not evaluated
Osmeridae,Osmerus eperlanus,European smelt,Slom / Nors,"Fresh, brackish water",Native and common,Not evaluated
Argentinidae,Argentina silus,Greater Argentine,,Marine,Native and common,Not evaluated
Argentinidae,Argentina sphyraena,Argentine,,Marine,Native and common,Not evaluated
Ammodytidae (Sand lance),Ammodytes marinus,N/A,Havstobis,Marine,Native and common,Not evaluated
Ammodytidae,Ammodytes tobianus,Lesser sand eel,Kusttobis,"Marine, brackish water",Native and common,Not evaluated
Ammodytidae,Hyperoplus lanceolatus,Greater sand eel,Tobiskung,"Marine, brackish water",Native and common,Not evaluated
Anarhichadidae,Anarhichas denticulatus,N/A,Blå havskatt,Marine,Sporadic,Not evaluated
Anarhichadidae,Anarhichas lupus,"Atlantic wolffish, Seawolf",Havskatt,Marine,Native and common,Not evaluated
Anarhichadidae,Anarhichas minor,N/A,Fläckig havskatt,Marine,Sporadic,Not evaluated
Bramidae,Brama brama,Atlantic pomfret,Havsbraxen,Marine,Native and common,Not evaluated
Bramidae,Pterycombus brama,N/A,Fengömmare,Marine,Sporadic,Not evaluated
Callionymidae,Callionymus lyra,N/A,Randig sjökock,Marine,Native and common,Not evaluated
Callionymidae,Callionymus maculatus,N/A,Fläckig sjökock,Marine,Native and common,Not evaluated
Caproidae,Capros aper,N/A,Trynfisk,Marine,Sporadic,Not evaluated
Carangidae,Naucrates ductor,Pilot fish,Lotsfisk,Marine,Sporadic,Not evaluated
Carangidae,Trachinotus ovatus,N/A,Blå gaffelmakrill,Marine,Sporadic,Not evaluated
Carangidae,Trachurus trachurus,Atlantic horse mackerel,Taggmakrill,Marine,Native and common,Not evaluated
Centrarchidae,Micropterus dolomieu,Smallmouth bass,Svartabborre,Fresh water,Introduced,Not evaluated
Centrarchidae,Micropterus salmoides,Largemouth bass,Öringabborre,Fresh water,Introduced,Not evaluated
Centrolophidae,Centrolophus niger,Rudderfish,Svartfisk,Marine,Sporadic,Not evaluated
Centrolophidae,Hyperoglyphe perciformis,N/A,Svartfening,Marine,Sporadic,Not evaluated
Centrolophidae,Schedophilus medusophagus,N/A,Engelsk svartfisk,Marine,Sporadic,Not evaluated
Gempylidae,Lepidopus caudatus,Silver scabbardfish,Strumpebandsfisk,Marine,Sporadic,Not evaluated
Gempylidae,Nesiarchus nasutus,N/A,Havsgädda,Marine,Sporadic,Not evaluated
Gobiesocidae,Diplecogaster bimaculata,N/A,Tvåfläckig dubbelsugare,Marine,Sporadic,Not evaluated
Gobiidae,Aphia minuta,N/A,Klarbult,Marine,Native and common,Not evaluated
Gobiidae,Crystallogobius linearis,N/A,Glasbult,Marine,Native and common,Not evaluated
Gobiidae,Gobius niger,N/A,Svart smörbult,Marine,Native and common,Not evaluated
Gobiidae,Gobiusculus flavescens,N/A,Sjustrålig smörbult,Marine,Native and common,Not evaluated
Gobiidae,Lebetus scorpioides,N/A,Simpstubb,Marine,Native and common,Data deficiency (DD)
Gobiidae,Lesueurigobius friesii,N/A,Spetsstjärtad smörbult,Marine,Native and common,Data deficiency (DD)
Gobiidae,Neogobius melanostomus,Round goby,Svartmunnad smörbult,Euryhaline,"Introduced, sporadic",Least concern (LC)
Gobiidae,Pomatoschistus microps,N/A,Lerstubb,Marine,Native and common,Not evaluated
Gobiidae,Pomatoschistus minutus,N/A,Sandstubb,Marine,Native and common,Not evaluated
Gobiidae,Pomatoschistus norvegicus,N/A,Dystubb,Marine,Native and common,Not evaluated
Gobiidae,Pomatoschistus pictus,N/A,Bergstubb,Marine,Native and common,Not evaluated
Gobiidae,Thorogobius ephippiatus,N/A,Leopardbult,Marine,Native and common,Least concern (LC)
Labridae,Acantholabrus palloni,N/A,Brunsnultra,Marine,Sporadic,Not evaluated
Labridae,Centrolabrus exoletus,N/A,Grässnultra,Marine,Native and common,Least concern (LC)
Labridae,Ctenolabrus rupestris,N/A,Stensnultra,Marine,Native and common,Not evaluated
Labridae,Labrus bergylta,Ballan wrasse,Berggylta,Marine,Native and common,Not evaluated
Labridae,Labrus mixtus,N/A,Blågylta,Marine,Native and common,Not evaluated
Labridae,Symphodus melops,N/A,Skärsnultra,Marine,Native and common,Not evaluated
Moronidae,Dicentrarchus labrax,European seabass,Havsabborre,Marine,Native and common,Not evaluated
Mullidae,Mullus surmuletus,N/A,Mulle,Marine,Sporadic,Not evaluated
Percidae,Gymnocephalus cernua,Ruffe,Gärs,Fresh and brackish water,Native and common,Not evaluated
Percidae,Perca fluviatilis,European perch,Abborre,Fresh and brackish water,Native and common,Not evaluated
Percidae,Sander lucioperca,Zander,Gös,Fresh and brackish water,Native and common,Not evaluated
Pholididae,Pholis gunnellus,N/A,Tejsterfisk,"Marine, brackish water",Native and common,Not evaluated
Polyprionidae,Polyprion americanus,Atlantic wreckfish,Vrakfisk,Marine,Sporadic,Not evaluated
Sciaenidae,Argyrosomus regius,Meagre,Havsgös,Marine,Sporadic,Not evaluated
"Scombridae (Mackerell, tunas and bonitos)",Auxis randei[check spelling],N/A,Auxid,Marine,Sporadic,Not evaluated
Scombridae,Euthynnus alletteratus,N/A,Tunnina,Marine,Sporadic,Not evaluated
Scombridae,Katsuwonus pelamis,Skipjack tuna,Bonit,Marine,Sporadic,Not evaluated
Scombridae,Orcynopsis unicolor,N/A,Ostrimmig pelamid,Marine,Sporadic,Not evaluated
Scombridae,Sarda sarda,Atlantic bonito,Ryggstrimming pelamid,Marine,Sporadic,Not evaluated
Scombridae,Scomber scombrus,Atlantic mackerel,Makrill,Marine,Native and common,Not evaluated
Scombridae,Thunnus thynnus,Bluefin Tuna,Tonfisk,Marine,"Sporadic, previously native and common",Not evaluated
Sparidae,Boops boops,Bogue,Oxögonfisk,Marine,Sporadic,Not evaluated
Sparidae,Oblada melanurus,N/A,Oblada,Marine,Sporadic,Not evaluated
Sparidae,Pagellus acarne,N/A,Pagell,Marine,Sporadic,Not evaluated
Sparidae,Pagellus bogaraveo,N/A,Fläckpagell,Marine,Sporadic,Not evaluated
Sparidae,Pagellus erythrinus’’,N/A,Rödpagell,Marine,(Sporadic),Not evaluated
Sparidae,Sparus aurata,N/A,Guldsparid,Marine,Sporadic,Not evaluated
Sparidae,Spondyliosoma cantharus,N/A,Havsruda,Marine,Sporadic,Not evaluated
Stichaeidae,Chirolophis ascanii,Yarrell's blenny,Tångsnärta,Marine,Native and common,Least concern (LC)
Stichaeidae,Leptoclinus maculatus,N/A,Trubbstjärtat långebarn,Marine,Native and common,Not evaluated
Stichaeidae,Lumpenus lampretaeformis,N/A,Spetsstjärtat långebarn,Marine,Native and common,Not evaluated
Trachinidae,Trachinus draco,Greater weever,Fjärsing,Marine,Native and common,Not evaluated
Xiphiidae,Xiphias gladius,Swordfish,Svärdfisk,Marine,Sporadic,Not evaluated
Zoarcidae,Lycenchelys sarsii,N/A,Sydlig ålbrosme,Marine,Native and common,Not evaluated
Zoarcidae,Lycodes vahlii,N/A,Ålbrosme,Marine,Native and common,Not evaluated
Zoarcidae,Zoarces viviparus,Viviparous Eelpout,"Tånglake, Ålkusa","Marine, brackish water",Native and common,Near threatened (NT)
Petromyzontidae,Lampetra fluviatilis,European river lamprey,,Fresh water,Native and common,Near threatened (NT)
Petromyzontidae,Lampetra planeri,Brook lamprey,,Fresh water,Native and common,Not evaluated
Petromyzontidae,Petromyzon marinus,Sea lamprey,,"Fresh water, marine",Native and common,Endangered (EN)
Bothidae (Left-eye flounders),Arnoglossus laterna,N/A,Tungevar,Marine,Native and common,Not evaluated
Scophthalmidae,Lepidorhombus whiffiagonis,N/A,Glasvar,Marine,Sporadic,Not evaluated
Scophthalmidae,Phrynorhombus norvegicus,N/A,Småvar,Marine,Native and common,Not evaluated
Scophthalmidae,Psetta maxima,Turbot,Piggvar,Marine,Native and common,Near threatened (NT)
Scophthalmidae,Scophthalmus rhombus,Brill,Slätvar,Marine,Native and common,Not evaluated
Scophthalmidae,Zeugopterus punctatus,N/A,Bergvar,Marine,Native and common,Not evaluated
Pleuronectidae (Right-eye flounders),Glyptocephalus cynoglossus,N/A,Rädtunga,Marine,Native and common,Not evaluated
Pleuronectidae,Hippoglossoides platessoides,N/A,Lerskädda,Marine,Native and common,Not evaluated
Pleuronectidae,Hippoglossus hippoglossus,Atlantic halibut,Hälleflundra / Helgeflundra,Marine,Native and common,Endangered (EN)
Pleuronectidae,Microstomus kitt,Lemon sole,Bergskädda,Marine,Native and common,Not evaluated
Pleuronectidae,Platichthys flesus,N/A,Skrubbskädda,"Fresh, marine and brackish water",Native and common,Not evaluated
Pleuronectidae,Pleuronectes limanda,N/A,Sandskädda,Marine,Native and common,Not evaluated
Pleuronectidae,Pleuronectes platessa,European plaice,Rödspätta / Spätta,Marine,Native and common,Not evaluated
Soleidae,Buglossidium luteum,N/A,Småtunga,Marine,Native and common,Not evaluated
Soleidae (Soles),Solea solea,Sole,Tunga,Marine,Native and common,Not evaluated
Agonidae,Agonus cataphractus,N/A,,Marine,Native and common,Not evaluated
Cottidae,Artediellus atlanticus,N/A,,Marine,Native and common,Not evaluated
Cottidae,Cottus gobio,Bullhead,,Fresh water,Native and common,Not evaluated
Cottidae,Cottus koshewnikowi,N/A,,Fresh water,Native and common,Least concern (LC)
Cottidae,Cottus poecilopus,N/A,,Fresh water,Native and common,Not evaluated
Cottidae,Icelus bicornis,Twohorn sculpin,,Marine,Native and common,Not available (NA)
Cottidae,Micrenophrys lilljeborgii,N/A,,Marine,Native and common,Data deficiency (DD)
Cottidae,Myoxocephalus scorpius,N/A,,"Marine, brackish water",Native and common,Not evaluated
Cottidae,Taurulus bubalis,N/A,,"Marine, brackish water",Native and common,Not evaluated
Cottidae,Triglops murrayi,N/A,,Marine,Sporadic,Not evaluated
Cottidae,Triglopsis quadricornis,N/A,,"Fresh water, brackish water",Native and common,Least concern (LC)
Cyclopteridae,Cyclopterus lumpus,Lumpsucker,,"Marine, brackish water",Native and common,Not evaluated
Cyclopteridae,Liparis liparis,N/A,,"Marine, brackish water",Native and common,Not evaluated
Cyclopteridae,Liparis montagui,N/A,,Marine,Native and common,Not evaluated
Triglidae,Chelidonichthys cuculus,N/A,,Marine,Sporadic,Not evaluated
Triglidae,Chelidonichthys gurnardus,N/A,,Marine,Native and common,Not evaluated
Triglidae,Chelidonichthys lastoviza,N/A,,Marine,Sporadic,Not evaluated
Triglidae,Chelidonichthys lucerna,N/A,,Marine,Sporadic,Not evaluated
Triglidae,Trigla lyra,N/A,,Marine,Sporadic,Not evaluated
Sebastidae,Helicolenus dactylopterus,N/A,,Marine,Sporadic,Not evaluated
Sebastidae,Sebastes norvegicus,N/A,,Marine,Native and common,Not evaluated
Sebastidae,Sebastes viviparus,N/A,,Marine,Native and common,Near threatened (NT)
Rajidae (skate),Amblyraja radiata,N/A,,Marine,Native and common,Not evaluated
Rajidae,Dipturus batis,Blue skate,,Marine,Native and common,Critically endangered (CR)
Rajidae,Dipturus linteus,N/A,,Marine,Not confirmed,Not evaluated
Rajidae,Dipturus nidarosiensis,N/A,,Marine,Not confirmed,Not evaluated
Rajidae,Dipturus oxyrinchus,N/A,,Marine,Sporadic,Not evaluated
Rajidae,Leucoraja fullonica,N/A,,Marine,Not confirmed,Not evaluated
Rajidae,Leucoraja naevus,N/A,,Marine,Sporadic,Not evaluated
Rajidae,Raja clavata,Thumback ray,,Marine,Native and common,Vulnerable (VU)
Dasyatididae,Dasyatis pastinaca,N/A,,Marine,Sporadic,Not evaluated
Myliobatidae (Eagle rays),Myliobatis aquila,Common eagle ray,,Marine,Sporadic,Not evaluated
Etmopteridae,Etmopterus spinax,Velvet belly,,Marine,Native and common,Vulnerable (VU)
Somniosidae,Somniosus microcephalus,Greenland shark,Håkärring,Marine,Native and common,Data Deficiency (DD)
Squalidae,Squalus acanthias,Piked dogfish,Pigghaj,Marine,Native and common,Endangered (EN)
Salmonidae,Coregonus albula,Vendace,Siklöja,Fresh and brackish water,Native and common,Not Evaluated
Salmonidae,Coregonus maraena,N/A,Fresh and brackish water,Fresh water,Native and common,Not Evaluated
Salmonidae,"""Coregonus maxillaris""",N/A,Storsik,Fresh and brackish water,Native only in Sweden; common,Not Evaluated
Salmonidae,"""Coregonus megalops""",Lacustrine fluvial whitefish,Blåsik,Fresh and brackish water,Native and common,Not Evaluated
Salmonidae,"""Coregonus nilssoni""",N/A,Planktonsik,Fresh and brackish water,Native and common,Not Evaluated
Salmonidae,"""Coregonus pallasii""",N/A,Aspsik,Fresh water,Native and common,Not Evaluated
Salmonidae,"""Coregonus trybomi""",N/A,Vårsiklöja,Fresh and brackish water,Native and common,Critically endangered (CR)
Salmonidae,"""Coregonus widegreni""",Valaam whitefish,Sandsik,Fresh and brackish water,Native and common,Not Evaluated
Salmonidae,Hucho hucho,Huchen,Donaulax,Fresh water,Introduced,Not Evaluated
Salmonidae,Oncorhynchus clarki,Cutthroat trout,Strupsnittsöring,Fresh water,Introduced,Not Evaluated
Salmonidae,Oncorhynchus gorbuscha,Pink salmon,Puckellax,Fresh and brackish water,Introduced,Not Evaluated
Salmonidae,Oncorhynchus kisutch,Coho salmon,Silverlax,Fresh and brackish water,Introduced,Not Evaluated
Salmonidae,Oncorhynchus mykiss,Rainbow trout,Regnbåge,Fresh and brackish water,Introduced,Not Evaluated
Salmonidae,Oncorhynchus nerka,Sockeye salmon,Indianlax,Fresh water,Introduced,Not Evaluated
Salmonidae,Salmo salar,Atlantic salmon,Lax,"Fresh, marine and brackish water",Native and common,"Least Concern (LC), locally Endangered (EN)"
Salmonidae,Salmo trutta,Brown trout,Öring,"Fresh, marine and brackish water",Native and common,Least Concern (LC)
Salmonidae,Salvelinus alpinus,Arctic char,Fjällröding,Fresh water,Native and common,Not Evaluated
Salmonidae,Salvelinus fontinalis,Brook trout,Bäckröding,Fresh water,Introduced,Not Evaluated
Salmonidae,Salvelinus namaycush,Lake trout,Canadaröding,Fresh water,Introduced,Not Evaluated
Salmonidae,Thymallus thymallus,Greyling,Harr,Fresh and brackish water,Native and common,Least Concern (LC)
Sternoptychidae,Argyropelecus olfersii,N/A,,Marine,Sporadic,Not Evaluated
Sternoptychidae,Maurolicus muelleri,Pearlsides,,Marine,Sporadic,Not Evaluated
Siluridae,Silurus glanis,Wels catfish,Mal,Fresh water,Native and common,Critically endangered (CR)
Squatinidae,Squatina squatina,Angelshark,,Marine,Sporadic,Not Evaluated
Balistidae,Balistes capriscus,N/A,,Marine,Sporadic,Not Evaluated
Balistidae,Canthidermis maculata,N/A,,Marine,Sporadic,Not Evaluated
Molidae,Mola mola,Ocean Sunfish,,Marine,Sporadic,Not Evaluated
Zeidae,Zeus faber,John dory,Sanktpersfisk / Sankt Pers fisk,Marine,Sporadic,Not Evaluated
